iter	RMSE
0	126.2484772
1	121.674987
2	117.9542226
3	114.9386976
4	112.3027456
5	110.1224157
6	108.423134
7	106.9017132
8	105.6951632
9	104.6911281
10	103.7550722
11	102.9867483
12	102.2739537
13	101.7077412
14	101.2452574
15	100.833218
16	100.5049232
17	100.1851853
18	99.74436186
19	99.48408883
20	99.22019774
21	98.91330077
22	98.69854512
23	98.44573766
24	98.24902027
25	98.044345
26	97.88388244
27	97.68785049
28	97.54091017
29	97.3517363
30	97.14584927
31	97.03579099
32	96.94685208
33	96.80798072
34	96.7103642
35	96.58125321
36	96.41182028
37	96.36481528
38	96.2005959
39	96.09334787
40	95.98702533
41	95.85012097
42	95.78979206
43	95.68705332
44	95.53771185
45	95.43870305
46	95.33045572
47	95.26492122
48	95.22266633
49	95.15566543
50	95.02294394
51	94.89222136
52	94.81975216
53	94.70961315
54	94.62854661
55	94.55143374
56	94.4879551
57	94.40639764
58	94.28805703
59	94.18951642
60	94.11607724
61	94.03656349
62	93.95341421
63	93.90507649
64	93.8280927
65	93.78595398
66	93.71027755
67	93.66677936
68	93.54892216
69	93.50357335
70	93.44990303
71	93.40195225
72	93.35931121
73	93.32241937
74	93.22122721
75	93.13531579
76	93.08525317
77	92.98186218
78	92.85284185
79	92.75542309
80	92.69470034
81	92.63997143
82	92.54917507
83	92.43727264
84	92.36433982
85	92.30128283
86	92.23024649
87	92.17576395
88	92.09187854
89	92.02793925
90	91.96885245
91	91.87711033
92	91.81500563
93	91.75869352
94	91.71777535
95	91.6026225
96	91.54284699
97	91.45529821
98	91.39770884
99	91.31921952
100	91.26067661
101	91.17410784
102	91.11537338
103	91.0334755
104	90.96061622
105	90.90980714
106	90.8521229
107	90.73988301
108	90.69344568
109	90.59962645
110	90.5492574
111	90.48648249
112	90.41757142
113	90.34092235
114	90.28385465
115	90.20205427
116	90.13433618
117	90.06604096
118	89.99791664
119	89.92429977
120	89.88883232
121	89.82173386
122	89.78565896
123	89.72416903
124	89.64309337
125	89.55277326
126	89.49457279
127	89.45229147
128	89.38478782
129	89.32902427
130	89.28313499
131	89.21704178
132	89.13716194
133	89.06270257
134	89.00280277
135	88.94486041
136	88.90152693
137	88.86287052
138	88.81161446
139	88.7208858
140	88.69347961
141	88.65031636
142	88.59053912
143	88.55989748
144	88.48304973
145	88.43077756
146	88.38037279
147	88.33161646
148	88.28680409
149	88.22818808
150	88.19653632
151	88.15776616
152	88.08310852
153	88.00885302
154	87.93177952
155	87.88274392
156	87.84050023
157	87.7628485
158	87.72359609
159	87.63264358
160	87.5875071
161	87.54612575
162	87.4808446
163	87.42668276
164	87.38740333
165	87.32106516
166	87.27322666
167	87.23073354
168	87.19469181
169	87.14357754
170	87.09210041
171	87.05515503
172	87.03006361
173	86.97054917
174	86.90549354
175	86.84548093
176	86.75202253
177	86.68463467
178	86.63942465
179	86.59533284
180	86.53709956
181	86.5001923
182	86.46688522
183	86.42131641
184	86.35111322
185	86.31444298
186	86.27448168
187	86.23263954
188	86.15485169
189	86.1253636
190	86.05402236
191	86.02020677
192	85.97653938
193	85.95358265
194	85.88908041
195	85.8318663
196	85.78651754
197	85.73323456
198	85.68076665
199	85.63619652
200	85.58479754
201	85.54346822
202	85.48626383
203	85.46762974
204	85.43240561
205	85.36785465
206	85.29876275
207	85.20437815
208	85.1634733
209	85.12321665
210	85.09171269
211	85.05522609
212	85.01237381
213	84.94604605
214	84.89970406
215	84.87510186
216	84.82260348
217	84.78002235
218	84.75230697
219	84.69163598
220	84.63391925
221	84.56877422
222	84.53053597
223	84.48146595
224	84.45367629
225	84.42670579
226	84.39705413
227	84.36858961
228	84.3464612
229	84.28255885
230	84.22317978
231	84.20031196
232	84.15644016
233	84.1159972
234	84.08194457
235	84.0413919
236	83.99973569
237	83.93487501
238	83.89591519
239	83.85296747
240	83.82035334
241	83.75844705
242	83.71983964
243	83.6544597
244	83.58558494
245	83.5096841
246	83.47086532
247	83.4342645
248	83.36082557
249	83.31686429
250	83.27183451
251	83.25275364
252	83.22552186
253	83.19703209
254	83.16995667
255	83.12788829
256	83.09388842
257	83.05655843
258	83.00742938
259	82.98132792
260	82.95922676
261	82.92359409
262	82.87566839
263	82.814975
264	82.74021749
265	82.69766382
266	82.66692916
267	82.63062403
268	82.61038564
269	82.55700699
270	82.51285556
271	82.47796325
272	82.44067719
273	82.38620753
274	82.35069033
275	82.28780151
276	82.23359528
277	82.18916683
